*Version 1.0 of the SI datasets 1-3 - created by SR and NC, January 6, 2015

The columns give the following information, as indicated by the header row label:
(1) Column: column number in SI dataset 1
(2) Phoneme: phoneme presented in Unicode
(3) Number_of_occurrences: frequency with which the phoneme is observed across 2082 languages in SI dataset 1
(4) Consonant: a boolean indicator; 1 indicates the phoneme in column (2) is a consonant
(5) Vowel: a boolean indicator; 1 indicates the phoneme in column (2) is a vowel
(6) Modified_consonant: 1 indicates the phoneme in column (2) is a modified consonant
(7) Modified_Vowel: 1 indicates the phoneme in column (2) is a modified consonants
(8) Click: 1 indicates the phoneme in column (2) is a click

Columns 6-8 in SI dataset 2 were used for some regression analyses (See SI Appendix section 3.2 and Table S8 for more information). See SI Appendix section 1.2 ``Modified consonants and modified vowels'' for more details about columns 6 and 7.


Column	Phoneme	Number_of_occurrences	Consonant	Vowel	Modified_consonant	Modified_Vowel	Click
364	ˀʁ	0	1	0	0	0	0
365	ʯ	140	1	0	0	0	0
366	ᵈžˣ	1	1	0	0	0	0
367	h˜	11	1	0	0	0	0
368	ɸʲ	1	1	0	0	0	0
369	ɣ˜	2	1	0	0	0	0
370	fˢ̌	2	1	0	0	0	0
371	z̤	1	1	0	0	0	0
372	hʷ	21	1	0	0	0	0
373	βʷ	3	1	0	0	0	0
374	ʮˀ	1	1	0	0	0	0
375	xʷ	59	1	0	0	0	0
376	sː	2	1	0	0	0	0
377	šʰ	3	1	0	0	0	0
378	xʰ	1	1	0	0	0	0
379	žʱ	1	1	0	0	0	0
380	vj^	0	1	0	0	0	0
381	β˜	1	1	0	0	0	0
382	ᵈzˣ	1	1	0	0	0	0
383	zʱ	1	1	0	0	0	0
384	j^	4	1	0	0	0	0
385	vz	0	1	0	0	0	0
386	fç	0	1	0	0	0	0
387	hʲ	1	1	0	0	0	0
388	fˀ	4	1	0	0	0	0
389	ž	291	1	0	0	0	0
390	v˜	1	1	0	0	0	0
391	çː	9	1	0	0	0	0
392	ẓ̌	15	1	0	0	0	0
393	v̥	1	1	0	0	0	0
394	ɸ	100	1	0	0	0	0
395	ẓ	19	1	0	0	0	0
396	ʕˀʷ	5	1	0	0	0	0
397	zʹ	1	1	0	0	0	0
398	vʰ	1	1	0	0	0	0
399	i̱	2	0	1	0	0	0
400	e	1444	0	1	0	0	0
401	i	1866	0	1	0	0	0
402	i̤	5	0	1	0	0	0
403	æ	161	0	1	0	0	0
404	e̤	2	0	1	0	0	0
405	I	298	0	1	0	0	0
406	ø	106	0	1	0	0	0
407	y	140	0	1	0	0	0
408	I̤	2	0	1	0	0	0
409	ɛ̤	3	0	1	0	0	0
410	ɛ	706	0	1	0	0	0
411	Y	10	0	1	0	0	0
412	œ	33	0	1	0	0	0
413	e̅	1	0	1	0	0	0
414	ḛ	1	0	1	0	0	0
415	e˃	1	0	1	0	0	0
416	w̤	1	1	0	0	0	0
417	ə̯	1	1	0	0	0	0
418	j	1855	1	0	0	0	0
419	j̥	28	1	0	0	0	0
420	w˜	13	1	0	0	0	0
421	ˀj	53	1	0	0	0	0
422	ɨ̯	2	1	0	0	0	0
423	w̥	41	1	0	0	0	0
424	w	1684	1	0	0	0	0
425	ɯ̯	4	1	0	0	0	0
426	jˀ	7	1	0	0	0	0
427	ɑ̯	1	1	0	0	0	0
428	ˀw	41	1	0	0	0	0
429	ɥ˜	1	1	0	0	0	0
430	wˀ	6	1	0	0	0	0
431	j̤	2	1	0	0	0	0
432	ɥ	24	1	0	0	0	0
433	ȷ˜	6	1	0	0	0	0
434	ɬʰ	1	1	0	0	0	0
435	l̥ᵚ	1	1	0	0	0	0
436	l̪̥	1	1	0	0	0	0
437	ʎ̣	1	1	0	0	0	0
438	ɬ̣	2	1	0	0	0	0
439	l	1650	1	0	0	0	0
440	ɬˀ	6	1	0	0	0	0
441	ḷ̥	1	1	0	0	0	0
442	lᵚ	15	1	0	0	0	0
443	l̤	10	1	0	0	0	0
444	ɬ	165	1	0	0	0	0
445	ɬː	1	1	0	0	0	0
446	ˀl	31	1	0	0	0	0
447	ḷ̌	7	1	0	0	0	0
448	l̯	33	1	0	0	0	0
449	L̥	1	1	0	0	0	0
450	ʎ	126	1	0	0	0	0
451	L	8	1	0	0	0	0
452	l˜	1	1	0	0	0	0
453	l̪	9	1	0	0	0	0
454	ɮ	19	1	0	0	0	0
455	ʎᵚ	1	1	0	0	0	0
456	l̥	49	1	0	0	0	0
457	ɬ̪	1	1	0	0	0	0
458	ľ	38	1	0	0	0	0
459	lˀ	4	1	0	0	0	0
460	ḷ̤	2	1	0	0	0	0
461	bɮ	0	1	0	0	0	0
462	ḷ	105	1	0	0	0	0
463	ʎ̥	4	1	0	0	0	0
464	lʲ	3	1	0	0	0	0
465	c̯	3	0	0	1	0	0
466	ˀc	3	0	0	1	0	0
467	cː	361	0	0	1	0	0
468	cᴺ	1	0	0	1	0	0
469	cʲʷ	1	0	0	1	0	0
470	c̥	5	0	0	1	0	0
471	cʰ	3	0	0	1	0	0
472	cᶛ	22	0	0	1	0	0
473	cʲː	4	0	0	1	0	0
474	cˀ	2	0	0	1	0	0
475	c̣	1	0	0	1	0	0
476	cʲ	130	0	0	1	0	0
477	ᴺc	200	0	0	1	0	0
478	c̣ː	1	0	0	1	0	0
479	ʰcᴺ	1	0	0	1	0	0
480	cːː	1	0	0	1	0	0
481	ͨN	1	0	0	1	0	0
482	cᵚ	4	0	0	1	0	0
483	c̤	1	0	0	1	0	0
484	cʲ̱	1	0	0	1	0	0
485	cʷ	234	0	0	1	0	0
486	vowelharmony	154	0	0	0	1	0
487	vː̰	1	0	0	0	1	0
488	vowelharmony_TR	1	0	0	0	1	0
489	v̱	3	0	0	0	1	0
490	v˜ᶛ	3	0	0	0	1	0
491	vː	968	0	0	0	1	0
492	v̤̅	1	0	0	0	1	0
493	v˜̰	7	0	0	0	1	0
494	vʔ	0	0	0	0	1	0
495	vˀv	0	0	0	0	1	0
496	v̤	40	0	0	0	1	0
497	vˀ_v	1	0	0	0	1	0
498	nasalharmony	24	0	0	0	1	0
499	vː̤	1	0	0	0	1	0
500	̅vː	2	0	0	0	1	0
